,Perioden,TotaleBevolking_1
0,1950,10026773
1,1951,10200280
2,1952,10328343
3,1953,10435631
4,1954,10550737
5,1955,10680023
6,1956,10821661
7,1957,10957040
8,1958,11095726
9,1959,11278024
10,1960,11417254
11,1961,11556008
12,1962,11721416
13,1963,11889962
14,1964,12041970
15,1965,12212269
16,1966,12377194
17,1967,12535307
18,1968,12661095
19,1969,12798346
20,1970,12957621
21,1971,13119430
22,1972,13269563
23,1973,13387623
24,1974,13491020
25,1975,13599092
26,1976,13733578
27,1977,13814495
28,1978,13897874
29,1979,13985526
30,1980,14091014
31,1981,14208586
32,1982,14285829
33,1983,14339551
34,1984,14394589
35,1985,14453833
36,1986,14529430
37,1987,14615125
38,1988,14714948
39,1989,14805240
40,1990,14892574
41,1991,15010445
42,1992,15129150
43,1993,15239182
44,1994,15341553
45,1995,15424122
46,1996,15493889
47,1997,15567107
48,1998,15654192
49,1999,15760225
50,2000,15863950
51,2001,15987075
52,2002,16105285
53,2003,16192572
54,2004,16258032
55,2005,16305526
56,2006,16334210
57,2007,16357992
58,2008,16405399
59,2009,16485787
60,2010,16574989
61,2011,16655799
62,2012,16730348
63,2013,16779575
64,2014,16829289
65,2015,16900726
66,2016,16979120
67,2017,17081507
68,2018,17181084
69,2019,17282163
70,2020,17407585
71,2021,17475415
72,2022,17590672
